"PATHWAY_ID","PATHWAY_NAME","CATEGORY_NAME"
"bioplanet_1","Inhibition of matrix metalloproteinases","Adhesion"
"bioplanet_1","Inhibition of matrix metalloproteinases","Cancer"
"bioplanet_10","Adhesion and diapedesis of granulocytes","Adhesion"
"bioplanet_10","Adhesion and diapedesis of granulocytes","Immune disease"
"bioplanet_10","Adhesion and diapedesis of granulocytes","Immune system"
"bioplanet_10","Adhesion and diapedesis of granulocytes","Immunology"
"bioplanet_10","Adhesion and diapedesis of granulocytes","Infectious disease"
"bioplanet_10","Adhesion and diapedesis of granulocytes","Stress response"
"bioplanet_100","Phospholipase C epsilon pathway","CellSignaling"
"bioplanet_100","Phospholipase C epsilon pathway","Circulatory system"
"bioplanet_100","Phospholipase C epsilon pathway","Endocrine and metabolic disease"
"bioplanet_100","Phospholipase C epsilon pathway","Nervous system"
"bioplanet_100","Phospholipase C epsilon pathway","Small molecule metabolism"
"bioplanet_100","Phospholipase C epsilon pathway","Transport"
"bioplanet_1000","Platelet adhesion to exposed collagen","Circulatory system"
"bioplanet_1000","Platelet adhesion to exposed collagen","Hemostasis"
"bioplanet_1002","Integrin-mediated cell adhesion","Cancer"
"bioplanet_1002","Integrin-mediated cell adhesion","Cardiovascular disease"
"bioplanet_1002","Integrin-mediated cell adhesion","Cell proliferation"
"bioplanet_1002","Integrin-mediated cell adhesion","Cellular Processes:Cellular community"
"bioplanet_1002","Integrin-mediated cell adhesion","Immune system"
"bioplanet_1002","Integrin-mediated cell adhesion","Infectious disease"
"bioplanet_1002","Integrin-mediated cell adhesion","Nervous system"
"bioplanet_1002","Integrin-mediated cell adhesion","Neurological disease"
"bioplanet_1003","Apoptotic cleavage of cell adhesion  proteins","Cancer"
"bioplanet_1003","Apoptotic cleavage of cell adhesion  proteins","Cell death"
"bioplanet_1003","Apoptotic cleavage of cell adhesion  proteins","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1004","Localization of the PINCH-ILK-PARVIN complex to focal adhesions","Cellular Processes:Cellular community"
"bioplanet_1004","Localization of the PINCH-ILK-PARVIN complex to focal adhesions","Immune system"
"bioplanet_1004","Localization of the PINCH-ILK-PARVIN complex to focal adhesions","Infectious disease"
"bioplanet_1005","Apoptotic execution  phase","Cancer"
"bioplanet_1005","Apoptotic execution  phase","Cell death"
"bioplanet_1005","Apoptotic execution  phase","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1006","Apoptosis","Cancer"
"bioplanet_1006","Apoptosis","Cell death"
"bioplanet_1006","Apoptosis","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1006","Apoptosis","Immune system"
"bioplanet_1006","Apoptosis","Stress response"
"bioplanet_1007","Apoptotic factor-mediated response","Cardiovascular disease"
"bioplanet_1007","Apoptotic factor-mediated response","Cell death"
"bioplanet_1007","Apoptotic factor-mediated response","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1007","Apoptotic factor-mediated response","Neurological disease"
"bioplanet_1008","Apoptotic cleavage of cellular proteins","Cardiovascular disease"
"bioplanet_1008","Apoptotic cleavage of cellular proteins","Cell death"
"bioplanet_1008","Apoptotic cleavage of cellular proteins","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1008","Apoptotic cleavage of cellular proteins","Immune system"
"bioplanet_1009","Apoptosis modulation by HSP70","Cardiovascular disease"
"bioplanet_1009","Apoptosis modulation by HSP70","Cell death"
"bioplanet_1009","Apoptosis modulation by HSP70","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1009","Apoptosis modulation by HSP70","Neurological disease"
"bioplanet_101","Phospholipase C signaling pathway","CellSignaling"
"bioplanet_101","Phospholipase C signaling pathway","Circulatory system"
"bioplanet_101","Phospholipase C signaling pathway","Immune system"
"bioplanet_101","Phospholipase C signaling pathway","Small molecule metabolism"
"bioplanet_1010","Formation of apoptosome","Cell death"
"bioplanet_1010","Formation of apoptosome","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1010","Formation of apoptosome","Immune system"
"bioplanet_1010","Formation of apoptosome","Stress response"
"bioplanet_1011","Apoptosis regulation","Cell death"
"bioplanet_1011","Apoptosis regulation","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1011","Apoptosis regulation","DNA repair"
"bioplanet_1011","Apoptosis regulation","Immune system"
"bioplanet_1011","Apoptosis regulation","Stress response"
"bioplanet_1012","Apoptosis intrinsic pathway","Cancer"
"bioplanet_1012","Apoptosis intrinsic pathway","Cell death"
"bioplanet_1012","Apoptosis intrinsic pathway","Cell proliferation"
"bioplanet_1012","Apoptosis intrinsic pathway","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1012","Apoptosis intrinsic pathway","Neurological disease"
"bioplanet_1012","Apoptosis intrinsic pathway","Reproduction"
"bioplanet_1012","Apoptosis intrinsic pathway","Stress response"
"bioplanet_1013","Influenza virus-induced apoptosis","Cell death"
"bioplanet_1013","Influenza virus-induced apoptosis","Human Diseases:Infectious diseases"
"bioplanet_1013","Influenza virus-induced apoptosis","Infectious disease"
"bioplanet_1014","Mitochondrial pathway of apoptosis: antiapoptotic Bcl-2 family","Cardiovascular disease"
"bioplanet_1014","Mitochondrial pathway of apoptosis: antiapoptotic Bcl-2 family","Cell death"
"bioplanet_1014","Mitochondrial pathway of apoptosis: antiapoptotic Bcl-2 family","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1014","Mitochondrial pathway of apoptosis: antiapoptotic Bcl-2 family","Stress response"
"bioplanet_1015","Mitochondrial pathway of apoptosis: multidomain Bcl-2 family","Cancer"
"bioplanet_1015","Mitochondrial pathway of apoptosis: multidomain Bcl-2 family","Cell death"
"bioplanet_1015","Mitochondrial pathway of apoptosis: multidomain Bcl-2 family","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1015","Mitochondrial pathway of apoptosis: multidomain Bcl-2 family","Immune system"
"bioplanet_1015","Mitochondrial pathway of apoptosis: multidomain Bcl-2 family","Small molecule metabolism"
"bioplanet_1015","Mitochondrial pathway of apoptosis: multidomain Bcl-2 family","Stress response"
"bioplanet_1016","Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family","Cancer"
"bioplanet_1016","Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family","Cell death"
"bioplanet_1016","Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1016","Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family","Immune system"
"bioplanet_1016","Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family","Stress response"
"bioplanet_1017","Mitochondrial pathway of apoptosis: caspases","Cancer"
"bioplanet_1017","Mitochondrial pathway of apoptosis: caspases","Cell death"
"bioplanet_1017","Mitochondrial pathway of apoptosis: caspases","Cellular Processes:Cell growth and death:Apoptosis"
"bioplanet_1017","Mitochondrial pathway of apoptosis: caspases","Immune system"
"bioplanet_1017","Mitochondrial pathway of apoptosis: caspases","Stress response"
"bioplanet_1018","Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization","Cell death"
"bioplanet_1018","Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization","Human Diseases:Infectious diseases"
"bioplanet_1018","Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization","Neurological disease"
"bioplanet_1019","DCC role in regulating apoptosis","Cancer"
"bioplanet_1019","DCC role in regulating apoptosis","Cell death"
