"PATHWAY_ID","PATHWAY_NAME","GENE_ID","GENE_SYMBOL"
"bioplanet_1","Inhibition of matrix metalloproteinases",3265,"HRAS"
"bioplanet_1","Inhibition of matrix metalloproteinases",4313,"MMP2"
"bioplanet_1","Inhibition of matrix metalloproteinases",4318,"MMP9"
"bioplanet_1","Inhibition of matrix metalloproteinases",4323,"MMP14"
"bioplanet_1","Inhibition of matrix metalloproteinases",7076,"TIMP1"
"bioplanet_1","Inhibition of matrix metalloproteinases",7077,"TIMP2"
"bioplanet_1","Inhibition of matrix metalloproteinases",7078,"TIMP3"
"bioplanet_1","Inhibition of matrix metalloproteinases",7079,"TIMP4"
"bioplanet_1","Inhibition of matrix metalloproteinases",8434,"RECK"
"bioplanet_10","Adhesion and diapedesis of granulocytes",727,"C5"
"bioplanet_10","Adhesion and diapedesis of granulocytes",1440,"CSF3"
"bioplanet_10","Adhesion and diapedesis of granulocytes",3383,"ICAM1"
"bioplanet_10","Adhesion and diapedesis of granulocytes",3384,"ICAM2"
"bioplanet_10","Adhesion and diapedesis of granulocytes",3458,"IFNG"
"bioplanet_10","Adhesion and diapedesis of granulocytes",3552,"IL1A"
"bioplanet_10","Adhesion and diapedesis of granulocytes",3576,"CXCL8"
"bioplanet_10","Adhesion and diapedesis of granulocytes",3683,"ITGAL"
"bioplanet_10","Adhesion and diapedesis of granulocytes",3684,"ITGAM"
"bioplanet_10","Adhesion and diapedesis of granulocytes",3689,"ITGB2"
"bioplanet_10","Adhesion and diapedesis of granulocytes",5175,"PECAM1"
"bioplanet_10","Adhesion and diapedesis of granulocytes",6402,"SELL"
"bioplanet_10","Adhesion and diapedesis of granulocytes",6403,"SELP"
"bioplanet_10","Adhesion and diapedesis of granulocytes",6404,"SELPLG"
"bioplanet_10","Adhesion and diapedesis of granulocytes",7124,"TNF"
"bioplanet_100","Phospholipase C epsilon pathway",107,"ADCY1"
"bioplanet_100","Phospholipase C epsilon pathway",154,"ADRB2"
"bioplanet_100","Phospholipase C epsilon pathway",5567,"PRKACB"
"bioplanet_100","Phospholipase C epsilon pathway",5568,"PRKACG"
"bioplanet_100","Phospholipase C epsilon pathway",5573,"PRKAR1A"
"bioplanet_100","Phospholipase C epsilon pathway",5575,"PRKAR1B"
"bioplanet_100","Phospholipase C epsilon pathway",5576,"PRKAR2A"
"bioplanet_100","Phospholipase C epsilon pathway",5577,"PRKAR2B"
"bioplanet_100","Phospholipase C epsilon pathway",5731,"PTGER1"
"bioplanet_100","Phospholipase C epsilon pathway",5912,"RAP2B"
"bioplanet_100","Phospholipase C epsilon pathway",10411,"RAPGEF3"
"bioplanet_100","Phospholipase C epsilon pathway",51196,"PLCE1"
"bioplanet_1000","Platelet adhesion to exposed collagen",1277,"COL1A1"
"bioplanet_1000","Platelet adhesion to exposed collagen",1278,"COL1A2"
"bioplanet_1000","Platelet adhesion to exposed collagen",2207,"FCER1G"
"bioplanet_1000","Platelet adhesion to exposed collagen",2534,"FYN"
"bioplanet_1000","Platelet adhesion to exposed collagen",2811,"GP1BA"
"bioplanet_1000","Platelet adhesion to exposed collagen",2812,"GP1BB"
"bioplanet_1000","Platelet adhesion to exposed collagen",2814,"GP5"
"bioplanet_1000","Platelet adhesion to exposed collagen",2815,"GP9"
"bioplanet_1000","Platelet adhesion to exposed collagen",3673,"ITGA2"
"bioplanet_1000","Platelet adhesion to exposed collagen",3688,"ITGB1"
"bioplanet_1000","Platelet adhesion to exposed collagen",4067,"LYN"
"bioplanet_1000","Platelet adhesion to exposed collagen",7450,"VWF"
"bioplanet_1000","Platelet adhesion to exposed collagen",51206,"GP6"
"bioplanet_1002","Integrin-mediated cell adhesion",207,"AKT1"
"bioplanet_1002","Integrin-mediated cell adhesion",208,"AKT2"
"bioplanet_1002","Integrin-mediated cell adhesion",369,"ARAF"
"bioplanet_1002","Integrin-mediated cell adhesion",673,"BRAF"
"bioplanet_1002","Integrin-mediated cell adhesion",726,"CAPN5"
"bioplanet_1002","Integrin-mediated cell adhesion",823,"CAPN1"
"bioplanet_1002","Integrin-mediated cell adhesion",824,"CAPN2"
"bioplanet_1002","Integrin-mediated cell adhesion",825,"CAPN3"
"bioplanet_1002","Integrin-mediated cell adhesion",826,"CAPNS1"
"bioplanet_1002","Integrin-mediated cell adhesion",827,"CAPN6"
"bioplanet_1002","Integrin-mediated cell adhesion",857,"CAV1"
"bioplanet_1002","Integrin-mediated cell adhesion",858,"CAV2"
"bioplanet_1002","Integrin-mediated cell adhesion",859,"CAV3"
"bioplanet_1002","Integrin-mediated cell adhesion",998,"CDC42"
"bioplanet_1002","Integrin-mediated cell adhesion",1398,"CRK"
"bioplanet_1002","Integrin-mediated cell adhesion",1445,"CSK"
"bioplanet_1002","Integrin-mediated cell adhesion",1793,"DOCK1"
"bioplanet_1002","Integrin-mediated cell adhesion",2534,"FYN"
"bioplanet_1002","Integrin-mediated cell adhesion",2885,"GRB2"
"bioplanet_1002","Integrin-mediated cell adhesion",2889,"RAPGEF1"
"bioplanet_1002","Integrin-mediated cell adhesion",3265,"HRAS"
"bioplanet_1002","Integrin-mediated cell adhesion",3611,"ILK"
"bioplanet_1002","Integrin-mediated cell adhesion",3655,"ITGA6"
"bioplanet_1002","Integrin-mediated cell adhesion",3672,"ITGA1"
"bioplanet_1002","Integrin-mediated cell adhesion",3673,"ITGA2"
"bioplanet_1002","Integrin-mediated cell adhesion",3674,"ITGA2B"
"bioplanet_1002","Integrin-mediated cell adhesion",3675,"ITGA3"
"bioplanet_1002","Integrin-mediated cell adhesion",3676,"ITGA4"
"bioplanet_1002","Integrin-mediated cell adhesion",3678,"ITGA5"
"bioplanet_1002","Integrin-mediated cell adhesion",3679,"ITGA7"
"bioplanet_1002","Integrin-mediated cell adhesion",3680,"ITGA9"
"bioplanet_1002","Integrin-mediated cell adhesion",3681,"ITGAD"
"bioplanet_1002","Integrin-mediated cell adhesion",3682,"ITGAE"
"bioplanet_1002","Integrin-mediated cell adhesion",3683,"ITGAL"
"bioplanet_1002","Integrin-mediated cell adhesion",3684,"ITGAM"
"bioplanet_1002","Integrin-mediated cell adhesion",3685,"ITGAV"
"bioplanet_1002","Integrin-mediated cell adhesion",3687,"ITGAX"
"bioplanet_1002","Integrin-mediated cell adhesion",3688,"ITGB1"
"bioplanet_1002","Integrin-mediated cell adhesion",3689,"ITGB2"
"bioplanet_1002","Integrin-mediated cell adhesion",3690,"ITGB3"
"bioplanet_1002","Integrin-mediated cell adhesion",3691,"ITGB4"
"bioplanet_1002","Integrin-mediated cell adhesion",3693,"ITGB5"
