gene_id,p24027-s001_MK02-Day25-ART,p24027-s002_MK92-Day25-ART,p24027-s003_MM12-Day25-ARTposVenetoclax,p24027-s004_MM88-Day25-ARTposVenetoclax,p24027-s005_MR11-Day25-ARTposVenetoclaxposantiposCD8,p24027-s006_NA01-Day25-ARTposVenetoclaxposantiposCD8,p24027-s007_ME53-Day25-ART,p24027-s008_MN10-Day25-ART,p24027-s009_MN79-Day25-ARTposVenetoclax,p24027-s010_MN86-Day25-ARTposVenetoclax,p24027-s011_NA73-Day25-ARTposVenetoclaxposantiposCD8
ENSMMUG00000023296,2,5,1,4,13,8,1,4,5,4,9
U6,0,0,0,0,0,0,0,0,0,0,0
ZNF692,390,424,214,341,494,381,295,475,386,248,477
ZNF672,61,77,119,105,133,137,87,101,82,81,128
SH3BP5L,541,539,398,430,606,408,323,557,487,434,594
ENSMMUG00000064799,1,0,0,0,2,0,2,0,2,0,0
LYPD8,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000031200,5,10,14,0,8,56,11,10,4,5,14
ENSMMUG00000052613,134,82,93,0,21,33,87,43,69,0,166
OR2T27,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000053841,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000017095,0,0,0,0,0,0,0,0,0,0,0
Y_RNA,0,0,0,0,0,0,0,0,0,0,0
OR2T10,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000048289,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000017368,0,0,0,0,0,0,0,0,0,0,0
OR14I1,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000031198,0,1,0,0,0,0,0,0,0,0,0
OR9G1,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000049901,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000064657,0,0,0,0,0,0,0,0,0,0,0
OR2T1,0,0,0,0,0,0,0,0,0,0,0
OR2T6,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000039595,0,0,0,0,0,0,0,0,0,0,0
OR2M4,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000049432,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000050812,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000059065,0,0,0,0,0,0,0,0,0,0,0
