gene_id,p24155-s001_MK02-Day294-ART,p24155-s002_MK92-Day294-ART,p24155-s003_MM12-Day294-ARTposVenetoclax,p24155-s004_MM88-Day294-ARTposVenetoclax,p24155-s005_MR11-Day294-ARTposVenetoclaxposantiposCD8,p24155-s006_NA01-Day294-ARTposVenetoclaxposantiposCD8,p24155-s007_ME53-Day294-ART,p24155-s008_MN10-Day294-ART,p24155-s009_MN79-Day294-ARTposVenetoclax,p24155-s010_MN86-Day294-ARTposVenetoclax,p24155-s011_NA11-Day294-ARTposVenetoclaxposantiposCD8,p24155-s012_NA73-Day294-ARTposVenetoclaxposantiposCD8
ENSMMUG00000023296,7,1,6,9,18,14,5,2,8,18,7,6
U6,0,0,0,0,0,0,0,0,0,0,0,0
ZNF692,513,502,685,490,735,511,473,429,304,347,452,556
ZNF672,104,105,190,189,145,138,93,109,81,91,105,132
SH3BP5L,722,678,916,815,867,744,523,545,454,516,808,836
ENSMMUG00000064799,0,0,1,0,0,0,0,0,6,0,0,0
LYPD8,0,0,0,0,1,0,0,0,9,0,0,0
ENSMMUG00000031200,11,15,8,0,3,1,7,9,2,0,8,8
ENSMMUG00000052613,138,140,143,0,46,56,109,56,55,3,50,137
OR2T27,0,0,0,0,0,0,0,0,2,0,0,0
ENSMMUG00000053841,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000017095,0,0,0,0,0,0,0,0,0,0,0,0
Y_RNA,0,0,0,0,0,0,0,0,0,0,0,0
OR2T10,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000048289,0,0,0,0,0,0,0,0,2,0,0,0
ENSMMUG00000017368,0,0,0,0,0,0,0,0,0,0,0,0
OR14I1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000031198,0,0,0,0,0,0,0,0,1,0,0,0
OR9G1,0,0,0,0,0,0,0,0,1,0,0,0
ENSMMUG00000049901,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000064657,0,0,0,0,0,0,0,0,3,0,0,0
OR2T1,0,0,0,0,0,0,0,0,0,0,0,0
OR2T6,0,0,0,0,0,0,0,0,3,0,0,0
ENSMMUG00000039595,0,0,0,0,0,0,0,0,2,0,0,0
OR2M4,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000049432,0,0,0,2,0,1,0,0,0,0,0,0
ENSMMUG00000050812,0,0,0,0,0,0,0,0,1,0,0,0
ENSMMUG00000059065,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000064763,0,1,0,0,0,1,0,0,8,0,0,0
ENSMMUG00000053957,0,0,0,1,0,1,0,0,0,0,0,0
Y_RNA.1,0,0,0,0,0,0,0,0,0,0,0,0
OR2L2,0,0,0,0,0,2,0,0,2,0,0,0
Y_RNA.2,0,0,0,0,0,0,0,0,0,0,0,0
OR2L5,1,1,0,8,2,4,2,0,6,0,0,2
ENSMMUG00000052261,0,0,0,0,0,1,0,0,0,0,0,0
Y_RNA.3,1,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000060886,0,0,0,0,0,0,0,0,5,0,0,0
ENSMMUG00000062168,0,0,0,0,0,0,2,0,1,0,0,0
Y_RNA.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000018891,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000056262,0,0,0,0,0,0,0,0,2,0,0,0
OR2W3,0,0,0,2,0,0,0,0,1,0,0,0
TRIM58,7,24,45,4,8,5,27,8,19,12,5,4
OR11L1,0,0,0,0,0,0,0,0,6,0,0,0
ENSMMUG00000056211,0,0,0,0,0,0,0,0,3,0,0,0
OR9H1P,0,0,0,0,0,0,0,0,3,0,0,0
OR1C1,0,0,0,0,0,0,0,0,1,0,0,0
OR14K1,0,0,0,0,0,0,0,0,3,0,0,0
OR14A2,0,0,0,0,0,0,0,0,1,0,0,0
OR6F1,0,0,0,0,0,0,0,0,5,0,0,0
OR13G1,0,1,0,0,0,0,0,0,3,0,0,0
ENSMMUG00000058340,0,0,0,0,0,0,0,0,0,0,0,0
GCSAML,0,4,1,0,2,3,0,1,3,4,7,0
ENSMMUG00000012954,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000060427,11,6,3,8,8,4,1,21,8,11,5,7
OR2B11,0,0,0,0,0,0,0,0,1,0,0,0
NLRP3,173,132,454,179,157,133,311,250,90,87,344,241
ENSMMUG00000052686,0,0,0,0,0,0,0,0,0,0,3,0
ZNF496,64,92,113,107,100,95,98,117,90,116,127,112
Y_RNA.5,0,0,0,0,0,0,0,1,0,0,0,0
ENSMMUG00000021266,1,0,0,1,0,0,0,2,1,0,0,0
ENSMMUG00000058602,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000059322,351,328,311,295,330,292,268,238,258,352,304,276
ZNF124,18,23,31,13,25,21,7,15,10,17,12,27
ENSMMUG00000058214,7,7,8,9,2,5,5,1,5,8,13,2
ENSMMUG00000023311,189,254,172,149,270,202,148,165,184,214,156,206
ZNF670,0,2,3,6,2,1,0,9,1,6,7,5
ENSMMUG00000054567,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000031191,0,1,3,3,7,9,1,4,8,4,6,5
Metazoa_SRP,0,0,0,0,0,0,0,0,1,0,0,0
AHCTF1,2428,1928,2757,1811,1686,1843,2222,1446,2272,1859,2131,2105
ENSMMUG00000049281,0,0,0,0,0,0,0,1,3,0,0,0
ENSMMUG00000053269,0,0,0,0,0,0,0,0,0,0,0,0
SCCPDH,489,936,841,673,1080,936,699,665,478,604,595,900
ENSMMUG00000056452,0,0,0,0,1,0,0,0,1,0,0,0
ENSMMUG00000060928,0,0,0,0,1,2,0,2,4,2,0,1
CNST,1315,1145,1401,1283,1164,998,1223,977,1012,1303,1434,1721
ENSMMUG00000059690,3,1,0,0,1,0,1,0,4,6,4,0
TFB2M,184,175,166,139,176,144,133,162,188,169,228,172
ENSMMUG00000055003,0,0,0,0,0,0,0,0,6,0,0,0
SMYD3,268,372,418,317,596,497,331,170,259,296,345,451
U6.1,0,0,0,0,0,0,0,0,0,0,0,0
KIF26B,78,59,78,113,117,49,69,56,151,43,36,41
ENSMMUG00000050220,0,0,0,0,0,0,0,0,4,0,0,0
Metazoa_SRP.1,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa_SRP.2,1,0,0,0,0,0,0,0,0,0,0,0
U1,0,0,0,0,0,0,0,0,0,0,0,0
EFCAB2,160,215,194,209,249,287,123,109,115,204,217,144
Metazoa_SRP.3,0,0,0,0,0,0,0,0,4,0,0,0
U6.2,0,0,0,0,0,0,0,0,0,0,0,0
mml.mir.7180,0,0,0,0,0,0,0,0,5,0,0,0
U6.3,0,0,3,0,0,0,0,0,0,1,0,0
ENSMMUG00000053368,98,71,78,64,49,48,65,77,38,41,86,78
U6.4,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa_SRP.4,0,0,0,0,0,0,0,0,0,0,1,0
ENSMMUG00000060516,0,0,0,0,0,0,0,0,7,0,0,0
HNRNPU,9986,11587,17127,13473,16921,13649,9712,9175,8206,8275,10394,13238
COX20,225,205,279,246,233,312,197,177,185,260,180,177
ENSMMUG00000048085,0,0,0,0,0,0,0,0,10,0,0,0
ENSMMUG00000062648,186,88,127,123,187,145,97,125,221,157,124,115
ENSMMUG00000054073,3,3,3,3,1,1,1,0,1,4,0,0
DESI2,634,648,891,947,900,724,510,470,538,442,453,552
CATSPERE,10,4,2,9,6,7,12,3,19,1,15,2
ENSMMUG00000062093,0,0,0,0,0,0,0,0,0,0,0,0
ADSS2,797,881,1340,1080,1048,1210,765,790,820,838,890,1001
C1H1orf100,9,4,0,3,1,1,7,3,3,0,2,2
ENSMMUG00000058747,32,9,0,6,14,3,21,21,3,7,5,11
Metazoa_SRP.5,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa_SRP.6,0,0,0,0,0,0,0,0,1,0,0,0
ENSMMUG00000058339,0,0,0,0,0,0,0,0,13,0,0,0
ENSMMUG00000048772,0,0,0,0,0,0,0,0,5,0,0,0
Metazoa_SRP.7,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000053438,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000047935,10,13,9,9,12,7,9,9,21,2,19,22
ZBTB18,493,683,493,551,565,536,435,409,586,705,565,862
ENSMMUG00000063991,0,0,0,0,0,0,0,0,7,0,0,0
ENSMMUG00000058567,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000055600,0,0,0,0,0,1,0,0,3,0,0,0
ENSMMUG00000058282,1,0,0,0,0,0,0,0,5,0,0,0
ENSMMUG00000049847,0,0,0,0,0,0,0,0,7,0,0,0
AKT3,148,166,253,145,201,209,142,128,239,232,195,183
Metazoa_SRP.8,12,3,7,2,3,4,3,3,2,8,9,4
SDCCAG8,363,344,473,460,487,431,387,303,285,336,345,352
Metazoa_SRP.9,0,0,0,0,2,0,0,0,2,0,0,0
MIR4677,0,0,0,0,0,0,0,0,1,0,0,0
CEP170,789,646,786,784,598,490,510,499,508,641,744,606
ENSMMUG00000059561,0,0,0,0,0,0,0,0,10,0,0,0
ENSMMUG00000062759,0,0,0,0,0,0,0,0,6,0,0,0
Metazoa_SRP.10,0,0,0,0,0,0,0,0,3,0,0,0
Metazoa_SRP.11,0,0,0,0,0,0,0,3,0,0,0,0
PLD5,1,0,0,0,0,0,3,0,12,0,0,0
ENSMMUG00000056808,0,0,0,0,0,0,0,0,4,0,0,0
U6.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000053723,0,0,0,2,0,0,0,0,1,0,0,0
BECN2,0,0,0,0,0,0,0,0,5,0,0,0
EXO1,25,21,60,86,52,49,25,34,36,27,47,46
WDR64,2,1,1,0,0,0,6,1,8,1,2,1
OPN3,46,45,89,76,28,31,38,47,24,25,45,32
KMO,41,15,65,96,49,41,29,30,32,37,24,40
FH,317,443,665,466,615,443,279,313,240,248,361,375
ENSMMUG00000054974,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000057010,0,0,0,0,0,0,0,0,26,0,4,0
RGS7,4,3,9,3,1,3,14,7,10,3,9,0
Metazoa_SRP.12,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa_SRP.13,0,0,0,0,0,0,0,0,2,0,0,0
GREM2,0,0,0,0,0,0,0,0,3,0,0,0
FMN2,0,0,0,0,0,0,0,0,23,0,0,0
Y_RNA.6,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa_SRP.14,0,0,0,0,0,0,0,0,0,0,0,0
CHRM3,9,12,6,4,8,9,9,8,3,10,8,6
ENSMMUG00000060243,0,0,0,0,0,0,0,0,3,0,0,0
Metazoa_SRP.15,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000050045,0,0,0,0,0,0,0,0,0,0,0,0
ENSMMUG00000059198,2,0,0,0,0,0,0,0,2,0,0,0
ENSMMUG00000054726,0,0,0,0,0,0,0,0,2,0,0,0
ENSMMUG00000015083,0,0,0,0,0,0,0,0,4,0,0,0
ENSMMUG00000054712,0,0,0,0,0,0,0,0,2,0,0,0
ENSMMUG00000049264,0,0,0,0,0,0,0,0,2,0,0,0
ENSMMUG00000059542,0,0,0,0,0,0,0,0,1,0,0,0
ENSMMUG00000061845,34,32,7,14,13,18,14,9,20,38,5,22
